city,row_in_file,id,name,address_he,address_en_current,issue,lat,lon
ganei-tikva,4,גני-תקווה-4,בית הספר אמירים,דרך המשי 9,"��רך המשי 9, גני תקווה, ישראל",English field still contains Hebrew,32.063267,34.867449
givatayim,5,גבעתיים-5,גן הבנים,"ל""ה 22",Giv'atayim,no house number in English,32.075318,34.8086113
hadera,18,hadera_18,מחסה תת קרקעי קניון מול הפרדסי,"קותיאל אדם 7, חדרה",,missing English address,32.416011,34.95198
haifa,17,haifa_18,בן גוריון,קרן הייסוד 33,"Ben Gurion School/Keren HaYesod, Haifa",no house number in English,32.79002105880941,35.00037614583096
haifa,26,haifa_27,מקלט חיפה - גוטליב שומאכר 2 א',גוטליב שומאכר 2 א',"Gottlieb Schumacher St 1-17, Haifa",house number differs (2 vs 1),32.820156036337465,34.98836198230319
haifa,42,haifa_43,מקלט חיפה - מרכוס 11,מרכוס 11,"David Ben Harosh St 3, Haifa",house number differs (11 vs 3),32.81158984698846,35.001370342704284
haifa,54,haifa_54,מקלט חיפה - חומה ומגדל 18 א',חומה ומגדל 18 א',"Khoma u-Migdal St 16, Haifa",house number differs (18 vs 16),32.81745108640424,35.074662976378214
haifa,62,haifa_62,מקלט חיפה - יוסף (הגדם) 47,יוסף (הגדם) 47,"Yosef St, Haifa",no house number in English,32.806000900638054,34.9991681848633
haifa,71,haifa_71,ליאו-בק,דרך צרפת 50,"Tzorfat Rd 90, Haifa",house number differs (50 vs 90),32.822806836136664,34.968369749117294
haifa,77,haifa_77,"מקלט חיפה - הרי""ף 11 / יעקב כץ 5","הרי""ף 11 / יעקב כץ 5","Ya'akov Kats St 5, Haifa",house number differs (11 vs 5),32.83780885642069,35.06926245861925
haifa,96,haifa_96,בית ספרארלוזורוב,הקיבוצים 65,"Kharuv St 20, Haifa",house number differs (65 vs 20),32.8143230130698,34.9683099140576
haifa,117,haifa_117,אליאנס,דרך בירם 37,"Biram Road/Internazional, Haifa",no house number in English,32.77441647122581,35.01069442268189
haifa,129,haifa_129,תיכון קריית חיים,הנוטר 32 הגדוד העברי 48,"HaGdud Haivri St 48, Haifa",house number differs (32 vs 48),32.823856511960784,35.06855902349124
haifa,141,haifa_141,"תיכון עתיד תיירות ומלונאות ע""ש טומי לפיד",בעל השם טוב 20,"Hannah Szenes/Wingate, Haifa",no house number in English,32.80235090111711,34.99496909480051
haifa,152,haifa_152,בסמת,המלך דוד 33,"HaMelekh David/Etzel, Haifa",no house number in English,32.81167057542513,34.95818374817038
haifa,153,haifa_153,מיגונית-2,שחאדה שלח 11 א',"Sh'Hada St, Haifa",no house number in English,32.81781316382392,34.99390992778187
haifa,161,haifa_161,אילנות,הסנה 8 א,"Ha-Sene St 8א, Haifa",English field still contains Hebrew,32.812474764466685,34.96890315055575
haifa,164,haifa_164,מקלט חיפה - יד לבנים 4,יד לבנים 4,"Yad LaBanim/Bar Yehuda, Haifa",no house number in English,32.80319274780447,35.010226263000945
haifa,166,haifa_166,מקלט חיפה - פרנק אנה 11,פרנק אנה 11,"Ben Ami St 1, Haifa",house number differs (11 vs 1),32.82835335668512,35.064222656922546
haifa,174,haifa_174,"גב-ים מת""מ D2",הרכס 1,"Nahum Het St 16, Haifa",house number differs (1 vs 16),32.78725524457432,34.95944661518721
haifa,184,haifa_184,מיגונית - בן צבי יצחק 16,בן צבי יצחק 16,"Meir Schneider Garden, Avraham Danino St 2, Haifa",house number differs (16 vs 2),32.81847200427269,35.06659584794456
haifa,185,haifa_185,מקלט חיפה - חרב ליאת 35 / הקונגרס 43 א',חרב ליאת 35 / הקונגרס 43 א',"Ha-Kongres St 43, Haifa",house number differs (35 vs 43),32.83520582004546,35.05663722770968
haifa,190,haifa_190,אבן גבירול,בודנהיימר 7,"אבן גבירול/ביל''ו, Haifa",English field still contains Hebrew,32.807439150250296,35.005477456866274
haifa,192,haifa_192,נאות פרס,אפרים קציר 3,"Yif'a St 5, Haifa",house number differs (3 vs 5),32.78143770296215,34.9679911894276
haifa,203,haifa_203,מיגונית-1,טרומן 12  מיגונית חוף נאות / דגניה/טרומן,Naot Beach,no house number in English,32.834837057198975,35.05330494365174
haifa,210,haifa_210,מקלט חיפה - בן ציון ישראלי 41,בן ציון ישראלי 41,"Bentsiyon Yisra'eli St 43, Haifa",house number differs (41 vs 43),32.83389356174385,35.0590536748418
herzliya,14,herzliya_14,מקלט 134,"רביבים 23, הרצליה","Har Sinai/Revivim, Herzliya",no house number in English,32.1735853,34.8529266
herzliya,26,herzliya_26,מקלט 136,"הצנחנים 2, הרצליה","Bar Kokhba/HaTsanhanim, Herzliya",no house number in English,32.1568874,34.8395304
herzliya,28,herzliya_28,מקלט 166,"אבו חצירא 40, הרצליה","Takhkemoni St 326, Ramat Hasharon",house number differs (40 vs 326),32.1329807,34.8481421
herzliya,43,herzliya_43,מקלט 167,"רמז דוד 61, הרצליה","Shaul Garden, Y.L. Perets St, Herzliya",no house number in English,32.1628376,34.8536608
herzliya,69,herzliya_69,"מקלט ביה""ס שזר","הנוטרים 11, הרצליה","בית ספר שז""ר, הנוטרים 11, הרצליה",English field still contains Hebrew,32.1664751,34.8506761
hod-hasharon,5,hod_pub_8,מקלט 8,"השחל, הוד השרון","שח''ל, Hod HaSharon, Israel",English field still contains Hebrew,32.154823,34.917065
hod-hasharon,66,hod_school_24,תיכון עמל,"החרש 9, הוד השרון","Amal 1 College, HaHarash St 9, Hod Hasharon",house number differs (9 vs 1),32.1317761,34.8981483
holon,19,holon_19,מקלט 19,"ברנדיס לואי 6, חולון","Brandeis St, Holon",no house number in English,32.0114334,34.791122
holon,29,holon_29,מקלט 31,"חומה ומגדל 3, חולון","Herzl Garden, Ha-Histadrut St, Holon",no house number in English,32.02018,34.7721557
holon,41,holon_41,מקלט 44,"ש ג'סי כהן 10, חולון","Jessi Cohen, Holon",no house number in English,32.00349,34.764201
holon,48,holon_48,מקלט 51,"החי""ם 2, חולון","Ha-Histadrut St 34, Holon",house number differs (2 vs 34),32.0180655,34.7706369
holon,67,holon_67,מיגונית - גבעת חולון 2,"גבעת חולון 2, חולון","גבעת חולון 7, Holon",English field still contains Hebrew,32.00061,34.788186
holon,68,holon_68,מיגונית - דן שומרון (תחנת היובל),"דן שומרון, חולון","דן שומרון 1, Holon",English field still contains Hebrew,31.9956039,34.7624978
jerusalem,31,ירושלים-31,מקלט ציבורי מספר 826,אוצר הספרים 6,"Otsar HaSfarim St, Jerusalem",no house number in English,31.78649294,35.2253953
jerusalem,45,ירושלים-45,מקלט ציבורי מספר 639,פינס מיכל 2,"Yehiel Michel Pines St 4, Jerusalem",house number differs (2 vs 4),31.78596058,35.21521827
jerusalem,66,ירושלים-66,מקלט ציבורי מספר 673,מלל 3,"King George St 21, Jerusalem",house number differs (3 vs 21),31.78075326,35.21629892
jerusalem,82,ירושלים-82,מקלט ציבורי מספר 828,הרב חסדא 10,,missing English address,31.75971235,35.21328746
jerusalem,89,ירושלים-89,מקלט ציבורי מספר 967,אנטיגונוס 7,"Raban Yohanan ben Zakai St 25, Jerusalem",house number differs (7 vs 25),31.75888667,35.209264
jerusalem,104,ירושלים-104,מקלט ציבורי מספר 739,שמורק 3,"Schmoreck Garden, Jerusalem",no house number in English,31.76613405,35.17604607
jerusalem,111,ירושלים-111,מקלט ציבורי מספר 983 - מקלט נגיש,גורדון 10,"A.D. Gordon St 15, Jerusalem",house number differs (10 vs 15),31.76657686,35.17703862
jerusalem,151,ירושלים-151,חניון בית בנית,האומן 14,"Ha-Aparsa St 3, Jerusalem",house number differs (14 vs 3),31.750919531149275,35.209708247427
jerusalem,154,ירושלים-154,חניון הגן הטכנולוגי 4,"הגן הטכנולוגי, דרך אגודת ספורט הפועל 2",,missing English address,31.750026940030864,35.18600107453311
jerusalem,155,ירושלים-155,חניון הגן הטכנולוגי בניין 1- 2 -בנין המגדל,אגודת הפועל 2,,missing English address,31.750036063320643,35.185990347427136
jerusalem,156,ירושלים-156,חניון הגן הטכנולוגי בניין 5,"הגן הטכנולוגי, דרך אגודת ספורט הפועל 2",,missing English address,31.750063433170816,35.186011803368515
jerusalem,157,ירושלים-157,חניון הגן הטכנולוגי בניינים 8-9,"הגן הטכנולוגי, דרך אגודת ספורט הפועל 2, ירושלים","Malha Train Parking/Disembark, Jerusalem",no house number in English,31.749565159736868,35.1866391712211
jerusalem,163,ירושלים-163,חניון בונהבנטורה,אנצ'ו בונהונטורה 5,"Enzo Bonaventura St, Jerusalem",no house number in English,31.75326482559817,35.22716150336833
jerusalem,185,ירושלים-185,חניון ספרא,יפו 26 /שבטי ישראל 7,"Shivtei Israel St 7, Jerusalem",house number differs (26 vs 7),31.77993978283809,35.22492106277103
jerusalem,201,ירושלים-201,בית ספר אשבאל אלקודס,אל-ופא' סמ4 1,"Jericho Road/Al-Waffa, Jerusalem",no house number in English,31.77195649883001,35.251005982526976
jerusalem,233,ירושלים-233,אבן חלדון לבנים מקיף,אל מרכז 12,"Al Merkaz/Al Qaser, Jerusalem",no house number in English,31.820652870995982,35.230205754601336
jerusalem,235,ירושלים-235,חטב סילואן בנים,ראס אל עמוד 23,"Bait Hanina Road/Al Abbas, Jerusalem",no house number in English,31.83420489394228,35.22888966313887
jerusalem,236,ירושלים-236,מקיף בית חנינא בנות,אסאקקיני כליל 1,R6JF+CX Jerusalem,house number differs (1 vs 6),31.831059223219714,35.224973896236534
jerusalem,238,ירושלים-238,בית ספר אלחיואר יסודי,אל טואל 20,"al Towell/Sharafat, Jerusalem",no house number in English,31.742259264544046,35.19232161625113
jerusalem,239,ירושלים-239,בית ספר בית צפאפא יסודי ב,אל ועד 15,,missing English address,31.745964466568875,35.20314728863773
jerusalem,241,ירושלים-241,בית ספר אבן אלהיתם אל סואחרה אל גרביה מכין בנים,האמאם אבו חניפה 6,"Abu Hanifa St, Jerusalem",no house number in English,31.786962288542775,35.23813308784994
jerusalem,242,ירושלים-242,אלסוואחרה תיכון בנים,חיי אל מדארס 57,"Hai Al-Madaris/Jam'a a-Zawia, Jerusalem",no house number in English,31.74812568913666,35.244558043236474
jerusalem,243,ירושלים-243,מקיף אלביאן,אבו רביע 7,"Abu Rabia/Barazani, Jerusalem",no house number in English,31.746467818020303,35.24021254780001
jerusalem,244,ירושלים-244,בית ספר סואחרה מכין בנות,חיי אל מדארס 72,"Al-Mdares St, Jerusalem",no house number in English,31.830969810942893,35.225621305011025
jerusalem,245,ירושלים-245,בית ספר סוואחרה יסודי בנים א,חיי אל מדארס 70,"Al-Mdares St, Jerusalem",no house number in English,31.831015387441326,35.225535474319024
jerusalem,246,ירושלים-246,בית ספר סלעה יסודי בנות,עמר אבן אל עאס סמטה 4 88,"Zala'a School/Jabel Mukaber Road, Jerusalem",no house number in English,31.75606130542941,35.24388500547135
jerusalem,247,ירושלים-247,בית ספר צלעה יסודי בנים,עמר אבן אל עאס סמטה 1 94,"Zala'a School/Jabel Mukaber Road, Jerusalem",no house number in English,31.75606746224162,35.24382816624986
jerusalem,249,ירושלים-249,א-טור מכין בנות,ראבעה אל עדאוויה 75,"A-Tur Junction/Rabi'a Al-Adawiya, Jerusalem",no house number in English,31.785598609470362,35.24796946082589
jerusalem,256,ירושלים-256,אלביאן יסודי מעורב,אום ליסון סמטה 3 0,"Umm Lisun Road A, Jerusalem",no house number in English,31.737107886720118,35.2469915436395
jerusalem,258,ירושלים-258,אלטור יסודי בנים_ב,אל-סהל אל-ג'דיד 25,"A-Sahl Aljadid/Al-Hardub, Jerusalem",no house number in English,31.781015153896128,35.25066673208295
jerusalem,259,ירושלים-259,אלטור מקיף בנים,ראבעה אל-עדוויה סמ2 17,"A-Tur Junction/Rabi'a Al-Adawiya, Jerusalem",no house number in English,31.785571250126452,35.24793727432008
jerusalem,264,ירושלים-264,אלתורי יסודי בנות,אל ת'ורי סמטה 5 135,"A-Thuri, Jerusalem",no house number in English,31.764965587525033,35.23144383388026
jerusalem,270,ירושלים-270,בית ספר בית צפאפא יסודי א,אל בראעם 35,"El Bara'am, Jerusalem",no house number in English,31.74142873363179,35.205578230979654
jerusalem,271,ירושלים-271,זהרת אלמדאיין,חיי אל מדארס 0,"Al-Mdares St, Jerusalem",no house number in English,31.831042733320547,35.225632031988994
jerusalem,273,ירושלים-273,מכין אבו חאמד אלגזאלי,אום ליסון 135,"Umm Lisun, Jerusalem",no house number in English,31.740626584381474,35.242133302218306
jerusalem,274,ירושלים-274,בית ספר ממ יאנוש קורצאק,בר כוכבא 99,,missing English address,31.802546400184028,35.240019134304774
jerusalem,282,ירושלים-282,בית ספר מכללת אורט,פרופ' מנדי רודן 1,"Mandy Rodin St, Jerusalem",no house number in English,31.777883087712862,35.19444071494687
jerusalem,284,ירושלים-284,התיכון ליד האקדמיה למוסיקה ולמחול,מנדי רודן 1 ירושלים,"Mandy Rodin St, Jerusalem",no house number in English,31.77819676221133,35.194311553969825
jerusalem,308,ירושלים-308,בית ספר גילה ב למדעים ואומנויות עש אלי כהן,מרגלית 411,"HaMargalit St 407, Jerusalem",house number differs (411 vs 407),31.72987320115094,35.18634698263267
jerusalem,312,ירושלים-312,בית ספר חרדי מנחי יד אשר בנות,אחלמה 8,"Almog St 213, Jerusalem",house number differs (8 vs 213),31.72789011109422,35.19008746314466
jerusalem,319,ירושלים-319,בית ספר ממ עופרים,שביבי אש 5,"Yitzhak Raphael St 4, Jerusalem",house number differs (5 vs 4),31.72409964975359,35.21609372081664
jerusalem,323,ירושלים-323,בית ספר אביעזרי,הרב שאול אבן דנאן 28,"Ha-Rav Sha'ul Even Dnan St, Jerusalem",no house number in English,31.780975599255758,35.17307478044004
jerusalem,332,ירושלים-332,בית ספר הר נוף,הרב שאול אבן דנאן 30,"Ha-Rav Sha'ul Even Dnan St, Jerusalem",no house number in English,31.781558458636987,35.17262663281553
jerusalem,339,ירושלים-339,בית ספר ממ קשת תלפז,דוד רזיאל 13,"804 Me'ir Feinstein St, Jerusalem",house number differs (13 vs 804),31.750174646589908,35.23301794965117
jerusalem,360,ירושלים-360,ביס הצנע לכת,הרב שי זווין 4,"Ha-Rav Zevin St 47, Jerusalem",house number differs (4 vs 47),31.841930730534838,35.24977998863361
jerusalem,361,ירושלים-361,בית ספר לחם הביכורים,הרב שלמה יוסף אליאך 6,"Ha-Shlomo Yosef Eli'akh St, Jerusalem",no house number in English,31.841379159713117,35.250270620810305
jerusalem,366,ירושלים-366,ביס תורת העמק,הרב שי זווין 40,,missing English address,31.84087227,35.24929808
jerusalem,367,ירושלים-367,ביס תורת יוסף (שערי ציון),שד נוה יעקב 36,,missing English address,31.83837292,35.23903097
jerusalem,371,ירושלים-371,ביס סלואן יסודי מעורב,בטן אל הווא 2,"Football Field/Al-Madaris, Jerusalem",no house number in English,31.770731635422024,35.238599276177574
jerusalem,372,ירושלים-372,ביס סלואן מכין בנות,בטן אל הווא 3,"Football Field/Al-Madaris, Jerusalem",no house number in English,31.770758999156094,35.238695835706075
jerusalem,373,ירושלים-373,ביס ראס אלעמוד מקיף בנים,אל-סוויח 15,"A-Sawih/A-Shafay, Jerusalem",no house number in English,31.768209325697836,35.24306809152376
jerusalem,377,ירושלים-377,ביס נתיבות יעקב,סנהדריה מורחבת 112,"Sanhedria Murhevet, Jerusalem",no house number in English,31.803619460455124,35.21634564956339
jerusalem,379,ירושלים-379,אלעיסוויה תיכון בנים,טריק אל מדארס סמטה 1 9,"Tariq Al Madaris, Jerusalem",no house number in English,31.798700644023274,35.254589766948925
jerusalem,380,ירושלים-380,ביס מקיף עיסאוויה לבנות,טריק אל מדארס 10,"Tariq Al Madaris, Jerusalem",no house number in English,31.798632632667303,35.25461874402664
jerusalem,381,ירושלים-381,סילואן ביס יסודי החדש,טריק אל מדארס 17,"Tariq Al Madaris, Jerusalem",no house number in English,31.79869152553709,35.25458977617611
jerusalem,382,ירושלים-382,עיסאוויה ביס חטיבת ביניים לבנים,טריק אל מדארס 14,"Tariq Al Madaris, Jerusalem",no house number in English,31.79875535493318,35.25458977617611
jerusalem,395,ירושלים-395,אום טובא ביס מכין בנות,אלתון 48,"Umm Tuba 6, Jerusalem",house number differs (48 vs 6),31.732042590035505,35.23234821173616
jerusalem,396,ירושלים-396,אום טובא ביס מכין בנים,אלסדר 19,P6JM+RR Jerusalem,house number differs (19 vs 6),31.732115590474177,35.234579809636536
jerusalem,397,ירושלים-397,אום טובא ביס תיכון בנים,אלסדר 13,P6JP+F5 Jerusalem,house number differs (13 vs 6),31.73117209249253,35.235396921948826
jerusalem,398,ירושלים-398,ביס צור באהר אבן רושד תיכון בנים,אל מדינה אל מונאוורה 171,"Sur Baher St 1, Jerusalem",house number differs (171 vs 1),31.73814175853294,35.22924945084251
jerusalem,399,ירושלים-399,ביס צור באהר יסודי בנות שמס אלגד,ד'את אל נטאקין 23,"Umm Lisson/Sur Baher 7, Jerusalem",house number differs (23 vs 7),31.733550922360962,35.242444276179505
jerusalem,400,ירושלים-400,ביס צור באהר מכין בנות,שקאא'יק אל נעמאן 7,"Abu Bakr alSiddiq School/al Madina alMunawra, Jerusalem",no house number in English,31.73731039,35.23009658
jerusalem,401,ירושלים-401,ביס צור באהר תיכון בנות,אל מדינה אל מונאוורה 146,"Sur Baher St 1, Jerusalem",house number differs (146 vs 1),31.739335109439097,35.22911081511643
jerusalem,408,ירושלים-408,ישיבת מקור חיים-שפע,י.נ. אפשטיין 5,"Shmaryahu Levin St 4, Jerusalem",house number differs (5 vs 4),31.770013992030893,35.17864782289583
jerusalem,410,ירושלים-410,בית ספר ממ גוואטמלה,החרצית 9,,missing English address,31.75823927885591,35.16371226314303
jerusalem,424,ירושלים-424,בית ספר דרכי רחל,הרב מנחם בצרי 1,"Rabbi Menachem Betsari St, Jerusalem",no house number in English,31.79946167737104,35.211018777262
jerusalem,446,ירושלים-446,בית ספר אוהל תורה - הרואה,הרואה 8,,missing English address,31.8199498200386,35.19931703811371
jerusalem,451,ירושלים-451,בית ספר ממ רמות אלון - עש יגאל אלון,אסירי ציון 2,,missing English address,31.816023193029448,35.19505566313985
jerusalem,453,ירושלים-453,בית ספר ממד אהבת ישראל- בנים,מעוז 1,"Sulam Ya'akov St 9, Jerusalem",house number differs (1 vs 9),31.82004024807849,35.2022471651919
jerusalem,455,ירושלים-455,בית ספר בנות אלישבע,מרן הגריש אלישיב 2,"Binyamin Minz St 45, Jerusalem",house number differs (2 vs 45),31.823936516212697,35.189839542328315
jerusalem,461,ירושלים-461,בית ספר תבל - רמות,רקנטי 7,"Avaraham Rekanati St 3, Jerusalem",house number differs (7 vs 3),31.815238112596116,35.19398027116436
jerusalem,465,ירושלים-465,בית ספר חכמת שלמה רמות א,טרומן הרי 3,"Henry Morgenthau St 1440, Jerusalem",house number differs (3 vs 1440),31.813544016985077,35.20623976312209
jerusalem,472,ירושלים-472,בית ספר משך חכמה חניכי הישיבות - רמות,הרב חזקיה שבתאי 12,"Ha-Rav Khizkiya Shabtai St 10, Jerusalem",house number differs (12 vs 10),31.82028816841556,35.19898188945476
jerusalem,485,ירושלים-485,בית ספר מעלה ערב,ארן זלמן 7,"Zalman Aran St, Jerusalem",no house number in English,31.801401826344694,35.226414234885034
jerusalem,488,ירושלים-488,בית ספר המסורה רמת שלמה,האדמור מלובביץ 52,"Rosh Pina St 6, Jerusalem",house number differs (52 vs 6),31.794269680678134,35.20106376901531
jerusalem,499,ירושלים-499,בית ספר אלסופרא,אל אסמאעי סמטה 4 2,"Hafez Ibrahim St 5, Jerusalem",house number differs (4 vs 5),31.81352648067036,35.231955555310144
jerusalem,502,ירושלים-502,בית ספר שועפאט יסודי בנות- ב,אבו אלעלא אל מערי 4,"Shuafat 30, Jerusalem",house number differs (4 vs 30),31.81484915567278,35.22911084683756
jerusalem,503,ירושלים-503,בית ספר שועפאט מכין בנות א,אל-ח'נסאא 21,"A-ShaBi St 9, Jerusalem",house number differs (21 vs 9),31.817471634195336,35.229859482613406
jerusalem,504,ירושלים-504,בית ספר שועפאט תיכון,אלעלם 6,R68J+CF Jerusalem,house number differs (6 vs 68),31.816075811048474,35.23123036443829
jerusalem,506,ירושלים-506,בית ספר שועפט יסודי בנים א,אחמד שאוקי סמטה 3 15,"Ahmed Shawqi St, Jerusalem",no house number in English,31.8136518430987,35.23021807553548
jerusalem,511,ירושלים-511,בית ספר מקיף ראס אלעמוד לבנות,דרך בית לחם הישנה 17,"Comprehensive Girls School/Old Bethlehem Road, Jerusalem",no house number in English,31.771041345779526,35.24242959193109
jerusalem,512,ירושלים-512,בית ספר בית וגן - בנים (לויכטר),יצחק יעקב לויכטר 3,"Ha-Rav Eli'ezer Bergman St 28, Jerusalem",house number differs (3 vs 28),31.767964533940553,35.180540473015085
jerusalem,513,ירושלים-513,בית ספר תיכון ליד האוניברסיטה,פרופ' מנשה הראל 1,,missing English address,31.78128675,35.19704616
jerusalem,533,ירושלים-533,מגדל תורה (נחלת שמואל),הרב שי זווין 5,,missing English address,31.840512432689497,35.247930809974584
